Temps 529.3793103448274 576.3490073145244 807.9279546829453
Q     0.12 0.01999999999999999 0.01099999999999999
Temps 563.8620689655172 641.1347962382445 1083.2400593961393
Q     0.13 0.03 0.020999999999999998
Temps 598.344827586207 705.9205851619646 1358.5521641093333
Q     0.14 0.04000000000000001 0.031000000000000007
Temps 632.8275862068965 770.7063740856844 1633.8642688225264
Q     0.15 0.04999999999999999 0.04099999999999999
Temps 667.3103448275863 835.4921630094045 1909.1763735357201
Q     0.16 0.06 0.051

